Input,Output
"Regular Audits and Monitoring:

Regular audits and monitoring play a crucial role in maintaining the security of patient health information within healthcare systems. These processes involve systematic reviews and assessments of access logs, user activities, and system behaviors to identify any anomalies or potential security breaches. 

By conducting frequent audits, healthcare organizations can proactively detect and address security issues, ensuring that patient information remains confidential and protected. Audits may include examining access logs to track who accessed patient data, when, and for what purpose. Monitoring user activities involves real-time observation of system interactions to identify any unusual patterns or behaviors that could indicate unauthorized access or misuse.

The proactive nature of regular audits enhances the ability to respond swiftly to potential security incidents. It enables healthcare providers to investigate and rectify any breaches, preventing further unauthorized access and mitigating risks to patient privacy. Additionally, audits are essential for demonstrating compliance with regulatory requirements, such as those outlined in the Health Insurance Portability and Accountability Act (HIPAA), reinforcing the commitment to maintaining the highest standards of data security and patient confidentiality in healthcare settings.","Regular audits and monitoring are essential to the safety and security patient health information security in healthcare systems. This process is basically a systematic appraisal of user activities, access logs and trends that captures anything that might hint that there may be some security problems, and following it up to see if there is a security breach.

Conducting frequent audits within a healthcare organization is vital in being able to be proactive in the detection of security issues so that these can be addressed swiftly and the patient information stays private and secure. The audit process may include examining the access logs to determine which user has accessed a patient record at any time, for what purpose and when. Monitoring of user activities is literally being able to view real-time system activities to be able to detect any unusual pattern or behavior that may hint at authorized-use or misuse.

The main advantage of being proactive by conducting regular audits is that should any potential security issues be detected, then they can be investigated into and thus rectified by fixing the loop holes, which will prevent further unauthorized use or access. It will also help to befuddle any peril to patient privacy and should any authorities be involved; one will be able to show a serious emphasis on data security in a healthcare setup to prove that they are abiding by the laws, and abiding by HIPAA (Health Insurance Portability and Accountability Act), and so on."
"5. Employee Training:

Ensuring the security of patient health information involves more than just technological safeguards; it requires a well-informed and vigilant workforce. Employee training is a pivotal aspect of creating a culture of awareness and responsibility within healthcare organizations.

Comprehensive training programs should cover privacy policies, security protocols, and the significance of safeguarding patient information. Employees need to understand the potential risks associated with mishandling or unauthorized disclosure of health data. Training sessions can include simulated scenarios to enhance employees' ability to recognize and respond to security threats effectively.

Healthcare staff, including clinicians, administrators, and support personnel, must be aware of their role in maintaining data security. This includes understanding the importance of strong password practices, recognizing phishing attempts, and adhering to access control policies.

Regular refresher courses and updates keep employees abreast of evolving security threats and reinforce the significance of their role in preserving patient confidentiality. Employee training not only reduces the likelihood of inadvertent security breaches but also establishes a collective commitment to maintaining the highest standards of data protection in the healthcare environment. By fostering a culture of awareness and responsibility, healthcare organizations can significantly enhance the overall security posture of patient health information.","Another vital element to ensuring the security of health patient information that goes beyond technology safeguards is having an educated and watchful staff. Healthcare organizations must institute employee training as part of the security process. A thorough training program should address privacy policies, security protocols and the importance of safeguarding patient information. Staff members must be aware of risks associated with mishandling or disclosing health data without authorization. The use of simulated data breach scenarios during training can be very effective in increasing employee awareness and responsiveness to security threats. All employees, including clinicians, administrators and support staff, have a role in data security. This includes being educated on strong password practices, recognizing phishing attempts and understanding access controls. Recurrent training and updates help staff members stay current on evolving security threats and reinforce the importance of their role in preserving patient confidentiality. Training staff helps reduce unintentional breaches in security while promoting a shared commitment to the highest privacy standards within the healthcare environment.

"
"6. Physical Security Measures:

Ensuring the physical security of healthcare facilities and the equipment storing patient health information is a critical aspect of safeguarding sensitive data. Physical security measures aim to prevent unauthorized access, theft, or tampering with the physical infrastructure where health information is stored.

One fundamental aspect involves controlling access to areas where servers, data centers, and other critical infrastructure are located. This includes implementing secure entry points, surveillance systems, and access cards or biometric authentication to limit entry to authorized personnel only. Physical security also extends to portable devices such as laptops and tablets that may contain patient information. Implementing measures like cable locks, secure storage, and tracking systems can help prevent theft or loss of devices containing sensitive data.

Moreover, data centers housing servers and storage devices should have robust security protocols, including 24/7 monitoring, environmental controls, and redundancy measures to ensure continuous availability while mitigating the risk of physical breaches.

By prioritizing physical security measures, healthcare organizations can fortify their defenses against unauthorized access or malicious activities targeting the physical infrastructure. This holistic approach, complemented by other security measures, contributes to a comprehensive and resilient system for protecting patient health information from potential physical threats and breaches.","6. Physical Security Measures:

It is essential to safeguard the physical security of the healthcare facilities and the equipment that is storing the patient health information. The aim of the physical security measures is to prevent unauthorized access, theft, or tampering to the physical infrastructure that the healthcare information resides in.

One of the main areas that physical security focuses on is to ensure that we control who can access the areas where the servers, data centers and other critical infrastructure resides in. The aim is to only allow authorized personnel to gain access into the area. This is achieved by secure entry points, surveillance, monitoring systems, access cards or biometric are employed to ensure that only the right personnel is allowed to enter. Another important area when comes to physical security is for portable devices like laptops or tablets that may contain the patient information. Essential measures such as cable locks, secure storage, and tracking systems are employed to ensure prevent theft or lost devices that contains sensitive data. And the data center that house the servers and storage devices must have the robust security that consists of security protocols such as 24/7 monitoring, environment control, and redundancy measures to prevent the physical breach like you burn down the place."
"Seventh Way: Regular Software Updates and Patching

Ensuring the security of patient health information involves a proactive approach to software maintenance through regular updates and patching. Software vulnerabilities are potential entry points for unauthorized access, and keeping systems up to date is fundamental to addressing these weaknesses.

Regular updates and patching involve applying the latest security patches released by software vendors to fix known vulnerabilities. This process is crucial because as software evolves, developers continually identify and address potential security risks. Failure to promptly install these updates can leave systems susceptible to exploitation by malicious actors seeking to gain unauthorized access to patient data.

The healthcare industry is a prime target for cyber threats, making the timely application of security patches a paramount concern. This practice extends to operating systems, database management systems, and any software used in the handling of patient health information.

Organizations must establish robust procedures for monitoring and implementing software updates promptly. Automated systems can assist in tracking the availability of patches, and a systematic approach ensures that updates are thoroughly tested before deployment to avoid disruptions to critical healthcare operations. By prioritizing regular software updates and patching, healthcare entities bolster their defenses against evolving cyber threats, contributing to the overall security and integrity of patient health information.","Seventh way that we could ensure the security of patient health information is through regular software maintenance. Software vulnerabilities presents an unauthorized access point and so keeping software up to date is an addressal to these flaws. Regularly updating and patching regularly consists of applying the latest security patch that software vendors release in order to fix the known vulnerabilities. This is crucial as software is ever evolving and so developers are always finding out about different vulnerabilities. By not immediately applying these, your software remains gap able and therefore can be exploited by cyber criminals that maybe seeking to gain unauthorized access to patient data. The Healthcare industry is a high-end value target for cyber threats and so the timely application of security patches is very important to be attended to. This extends to operating systems, database management systems and any software that is put in place to handle the patient health information. Organizations must have a strong procedure in place to ensure that software updates are being monitored with an automatic system and as soon as available, be promptly applied. Therefore before being deployed onto the live environment, the automatic system must have had its tests and checks to ensure it will not disrupt the critical running of the Healthcare operations."
"8. Regular Software Updates and Patching:

Regularly updating and patching software is a critical aspect of maintaining the security of patient health information. Software vendors release updates and patches to address known vulnerabilities and strengthen security measures. By promptly applying these updates, healthcare organizations can significantly reduce the risk of exploitation by malicious actors seeking to compromise data integrity.

Outdated software is often more susceptible to cyberattacks, as it may contain known vulnerabilities that have been patched in later versions. These vulnerabilities could be exploited to gain unauthorized access to patient records or compromise the confidentiality of sensitive health information.

Establishing a robust system for monitoring and applying software updates ensures that the entire IT infrastructure, including electronic health record (EHR) systems and associated applications, remains fortified against potential threats. This proactive approach not only protects patient data but also aligns with regulatory requirements and industry best practices for cybersecurity in the healthcare sector.

Moreover, healthcare organizations should implement a comprehensive strategy for testing and deploying updates to minimize any potential disruptions to operations while maintaining a secure and up-to-date environment. Regular software maintenance becomes an integral part of safeguarding patient information and fostering a resilient cybersecurity posture in the healthcare sector.","Explanation - This section relays the importance of regularly software updates and software patching to maintain data security. Software vendors typically release software updates and patches to address new security vulnerabilities as they are discovered or created. Applying these updates as soon as they become available is a great way that healthcare organizations can work to guard against a data breach. As older software may have security vulnerabilities that the current version has accounted for, outdated software can make you particularly susceptible to a cyber attack. Attackers can leverage these documented vulnerabilities to gain unauthorized access to electronic health records and/or exploit this information. Having a robust system for monitoring and applying software updates ensures that your entire environment, including your electronic health record (EHR) systems and other software solutions, remain secure and free from potential hijacking. Updating software and applications in a proactive manner not only helps to safeguard your patient’s information, but it also helps to satisfy regulatory standards and demonstrate to your patients that you are serious about cybersecurity. It is also important to maintain a comprehensive strategy for testing and application updates so that you can ensure that updates won’t disrupt your business if applied."
"9. Secure Communication Channels:

Ensuring the security of communication channels is paramount in safeguarding patient health information. Healthcare organizations must prioritize the use of encrypted and secure methods when transmitting sensitive data. Secure communication channels protect against unauthorized access and interception of patient information during transmission.

One key aspect is the implementation of secure email systems that employ encryption protocols, preventing unauthorized individuals from accessing the content of emails containing patient data. Virtual Private Networks (VPNs) further enhance communication security by creating a private, encrypted tunnel over the internet, making it challenging for malicious entities to intercept or tamper with transmitted data.

Secure communication is particularly crucial in telemedicine and remote healthcare services, where patient information is frequently transmitted over networks. Implementing end-to-end encryption and secure messaging platforms ensures that confidential data, including medical records and diagnostic information, remains protected from potential breaches.

Moreover, healthcare professionals should be trained on the proper use of secure communication tools and be made aware of the risks associated with unsecured channels. By integrating secure communication practices into the healthcare workflow, organizations can fortify their defenses against unauthorized access and enhance overall patient information security. This proactive approach contributes to maintaining patient trust and compliance with data protection regulations.","Secure communication channels are another extremely important mechanism in ensuring the privacy of patients health information. Healthcare organizations must make appropriate use of safe communication processes for the transmission of sensitive data. One method to aid in the safe transmission of patient data would be the use of encryption. When dealing with the transmission of patient data using the identity management system, it is important be sure that we are using a method such as encrypted email, which would not allow any unauthorized run to look at, or view in any way, the email communication that took place. A VPN is another way to help accomplish secure communication. A VPN is a virtual private network that allows for a private, encrypted tunnel over the internet. This makes it extremely difficult for interceptors to read, or tamper with any data being transmitted."
"10. Compliance with Data Protection Regulations:

Ensuring compliance with data protection regulations is a fundamental strategy for securing patient health information. Laws and regulations such as the Health Insurance Portability and Accountability Act (HIPAA) in the United States or the General Data Protection Regulation (GDPR) in the European Union outline specific requirements for the secure handling and storage of healthcare data.

Compliance involves establishing and maintaining security protocols, policies, and procedures that align with the legal framework. This includes conducting risk assessments, implementing safeguards to protect patient privacy, and regularly auditing and monitoring security practices to identify and rectify vulnerabilities.

Adhering to data protection regulations not only mitigates legal risks but also underscores a commitment to patient confidentiality and data security. It mandates the adoption of industry best practices, such as encryption, access controls, and regular risk assessments, ensuring that patient health information is handled with the utmost care and in accordance with established legal standards.

In essence, compliance serves as a comprehensive guide for healthcare organizations, providing a structured approach to safeguarding patient information and maintaining the trust and confidence of both patients and regulatory authorities in the security and privacy of healthcare data.","Compliance with Data Protection Regulations

A fundamental method of securing patient health information is through the compliance of data protection regulations. Laws and regulations such as HIPAA in the United States and the General Data Protection Regulation (GDPR) established by the European Union have outlined requirements for the secure handling and storage of healthcare data.

Complying with these regulations entails establishing and maintaining security protocols, policies, and procedures that are in line with the legal framework. This may include performing risk assessments, implementing safeguards to protect patient privacy, and regularly monitoring and auditing security practices to identity and mitigate vulnerabilities.

Maintaining compliance with data protection regulations not only reduces legal risk but also demonstrates a commitment to patient confidentiality and data security. These regulations encourage the adoption of industry best practices such as encryption, access controls, and regular risk assessments, assuring patient health information is handled with the utmost care and in accordance to the established legal standards.

Overall, compliance provides a healthcare organization a blueprint to not only follow in order to safeguard patient health information but also to establish trust and confidence between the patients and the regulatory authorities that their health data is secure and private."
"Project Initiation: Defining the Blueprint for Success 

In this crucial phase, the project manager outlines the foundation for the house construction. The type of house, budget constraints, and a realistic timeline are established. Additionally, identification of key stakeholders, including architects, builders, and homeowners, is paramount to align expectations and ensure a cohesive vision from the outset. 

Project Planning: Crafting the Roadmap for Execution 

This phase involves meticulous planning to transform the project vision into a tangible reality. The project manager develops a detailed project plan, outlining tasks, milestones, and dependencies. Simultaneously, a comprehensive budget is crafted, encompassing materials, labor costs, and necessary permits. This detailed roadmap serves as a guiding document throughout the construction process, ensuring efficient and organized execution. 

Project Execution: Turning Plans into Reality 

This phase marks the commencement of construction as per the meticulously crafted plan. The project manager oversees the implementation, ensuring alignment with the established blueprint. Regular communication with the project team and stakeholders is prioritized, fostering collaboration and addressing potential challenges promptly, maintaining project momentum. 

Monitoring/Control: Ensuring Precision and Quality 

Vital to project success, this phase involves conducting frequent inspections to guarantee adherence to the plan and maintain stringent quality standards. The project manager proactively addresses any arising issues or delays, preserving the project's timeline and minimizing disruptions to the construction process. 

Project Closure: Culminating Success with Precision 

As the final stage unfolds, the project manager conducts a comprehensive final inspection, seeking approval for the completed project. The culmination involves the symbolic handover of the house to the homeowner, marking the triumphant conclusion of the project and the realization of the initial vision. 

 

 ","Now we will go more in-depth into the process of the Pre-Project set-up phase. In this phase, the project manager is constructing the foundation. Of course, prior to starting construction, decisions have to be made such as the type of house that you want to build. What is your budget? How long do you want this project to take? And most importantly, who are your key stakeholders? Like we talked about last week, your key stakeholders are those individuals who are going to make most of the decisions on the important items. For the sake of our example, we will use three key stakeholders. The architects, builders, and finally the homeowners iterate (architecture, builder, homeowner). The second phase of the design process is the detailed design and as the name says it is a more detailed phase. In this phase the project manger creates a detailed project plan. This includes tasks, milestones and dependencies. Additionally, a detailed budget outline is crafted, which includes the cost of all the materials we will use, labor hours and what the permitting costs will be. This part of the process where a detailed road map is created for my project that my team is going to use to make sure the project is completed correctly.
With the plan created, this phase will start and see the project manager lead the way in making sure that it is carried out just as it was planned. he or she will make sure there is open lines of communication between the project team and all stakeholders to keep things flowing smoothly. All challenges that may come during the project will be handled right away before things get off track.
To ensure the plan is being adhered to, maintaining strict quality standards, an important residential construction phase is conducting frequent inspections. Proactively addressing any issues or delays that may occur allows the project manager to stay on track and keep the construction process flowing smoothly.


"
"leveraging purchase history and feedback, Starbucks has an opportunity to explore emerging technologies like IoT and AI to take its data-driven marketing to the next level. For example, integrating smart sensors into their stores can allow Starbucks to track accurate wait times, foot traffic, seating availability etc. in real-time. Analysis of this data can dynamically inform decisions like staff allocation during rush hours. AI chatbots can be leveraged to not only take orders but also provide highly personalized suggestions based on individual preferences. Exploring futuristic connected technologies like allowing users to place orders and make payments via voice assistants prior to entering the store could significantly improve convenience and satisfaction. Geofencing through Starbucks app for fully automated drink preparation as customers arrive could make the experience seamless. Such cutting edge innovation driven by customer data analytics can cement Starbucks' leadership in the space. The future looks promising. ","The company could leverage IoT and AI in their stores to drive their marketing to the next level. For example, if Starbucks could implement IoT technologies in their stores by integrating smart sensors, they could track more information such as accurate wait time, foot traffic, seating availability, etc. in real time. Through analyzing the data, Starbucks can use the information to improve efficiency by making decisions like If they see an influx of customers at a certain time each day, it would be smart to allocate more staff to work those hours. Starbucks can also employ AI chatbots to not only place your order for you but also suggest highly personalized combinations based on individual’s preferences. Starbucks should also look into emerging connected technologies. For example, Starbucks could allow you to order and pay through voice assistants before arriving at the store, or implement geo-fencing via the Starbucks app so your drink will be made up as you arrive at the door."
"As a master's student, I have found that several concepts learned during my coursework have been applicable to my externship and have positively impacted my academic progress. Specifically, one concept that has proven to be valuable is the understanding of data analysis and statistical approaches.During my externship, I encountered real-world obstacles in data analysis, similar to the challenges discussed in my coursework. By applying the statistical methods and techniques learned in class to these real-world scenarios, I was able to gain a deeper understanding of how to analyze and interpret data effectively. This experience not only enhanced my problem-solving skills but also improved the quality of my academic research.
Furthermore, the knowledge gained in my Project Management class has been invaluable in my role at the externship. Through my coursework, I developed skills in project development phases, creating effective timetables, and resource management. These skills have helped me contribute to the successful completion of projects within strict deadlines, fostering a more structured work environment. The improved team dynamics resulting from the application of project management principles have positively influenced my professional standing.
In addition to practical skills, my coursework in Business Ethics has been beneficial in my externship. By providing a framework for analyzing potential ethical issues, this course has equipped me with a moral compass to approach situations with heightened awareness. This understanding has helped me maintain ethical behavior in my job, contributing to a strong team dynamic and positively impacting my professional growth.
Overall, the symbiotic relationship between my externship and academic coursework has enhanced my learning experience. The application of theoretical concepts in a real-world setting has further solidified my understanding of various subjects. By incorporating practical experiences into my academic projects, I have been able to overcome challenges, develop new knowledge, and improve my existing abilities. This combination of theoretical and experiential learning opportunities has provided me with a well-rounded education and has been crucial to my personal and professional development as a master's student.
","As student with courses all in numerical format, real-world application to such methods is crucial. In my externship, I was faced with difficult scenarios in order to come up with a data analysis, not too different to what is discussed in our courses. Applying the methods I learned in class, studying the interpretation of data and statistical methods, and finally analyzing the data I found properly has given me a unique way to thinking of data and its usage. Taking courses with this type of outlook has allowed me to get better grades on other classes not directly related to the statistics program.
Another subject that is been very useful in my externship is my Project Management class. It was really useful for me to learn about the different phase of a project, and how to put together and effective project plan, an effective timetable and managing my resources. All these new abilities, allowed me to contribute to finishing project on time, and as our operatory has expanded, managing project as small as the garbage pail move, or bigger ones like installation of new units, or new x-ray machines or water softeners or even the upgrade of EAGLE SOFT. It also made the office working in a more organized due date-oriented environment, and team work is more important.
Another class that has complimented me in my externship is Business Ethics. Another practical skill I have used in the field is Ethics. I believe that this is a good skill to have at work in any job. I now have a framework for analyzing potential ethical issues and I have a moral compass. This knowledge, along with an understanding and skills in handling potential conflicts of interest has been very helpful at work. I think this shot of ethics has helped tremendously in the team dynamics at my externship.
Another part of my coursework at the school of business that has helped me in pharmacy is my Business Ethics class. Business Ethics allows me to have a framework in problems that I possibly faced. Examples being What I would do during a drug recall or if I find myself in a dispensing error. This course has allowing me to make and sense of a department of pharmacy I am more aware of ethics in our company. How I should behave if faced with an ethical issue is knows how to do my job easier, finding out what is the easiest and quickest answer is not always allowed. I must give my best answer and the answer that follows the laws and values of my company. Being able to answer what I know is right has led to . Being ethical in field of work has rewarded me by not receive a disciplinary for failing to follow the company’s code of business conduct and ethics or policy violation, a strong team dynamic in the department and my personal growth as pharmacy technician.
These experiences have furthered my learning because of the connections I have made between my externship and my individual class work. Being able to apply the things in which you have learnt in a real-world outside of the school building has helped me grasp a better understanding on various subjects and concepts. By incorporating my practical experiences in my academic projects, I have been able to overcome struggles, gain new knowledge and perfect existing ways of doing things. The completion of these theoretical and practical experiences is one of my most useful tools for personal and professional growth as a Master’s student.
"
"The encountered real world obstacles in data analysis, similar to the challenges discussed in my coursework. By applying the statistical methods and techniques learned in class to these real-world scenarios, I was able to gain a deeper understanding of how to analyze and interpret data effective. This experience not only enhanced my problem-solving skills but also improved the quality of my academic researchThe knowledge gained in my Project Management class has been invaluable in my role at the externship. Through my coursework, I developed skills in project development phases, creating effective timetables, and resource management. These skills have helped me contribute to the successful completion of projects within strict deadlines, fostering a more structured work environment. The improved team dynamics resulting from the application of project management principles have positively influenced my professional standing. My coursework in Business Ethics has been beneficial in my externship. By providing a framework for analyzing potential ethical issues, this course has equipped me with a moral compass to approach situations with heightened awareness. This understanding has helped me maintain ethical behavior in my job, contributing to a strong team dynamic and positively impacting my professional growthThe symbiotic relationship between my externship and academic coursework has enhanced my learning experience. The application of theoretical concepts in a real-world setting has further solidified my understanding of various subjects. By incorporating practical experiences into my academic projects, I have been able to overcome challenges, develop new knowledge, and improve my existing abilities. This includes successfully completing various theory and method courses such as: Organization of Information, Information in Society, and Information Systems. I also have benefited from experiential learning through my Graduate Assistantship at Emily H. Fowler Library at UNT where I manage 50 students. My objective is to secure in an academic library a position as an academic library director continuing to provide access to the information user’s need, when they need it, in a format they can use ","I have faced the real world obstacles in data analysis. The encountered problems were very much like the problem I had been solving during the course. I had the tools (statistical methods) to use and solve the problem. Since, those were the real world problems I had to find the ways to solve those using the methods I had learnt from the course. While performing those real world scenarios I understood why I was applying the tools to particular problem and what was the advantage of those tools. I knew why I was doing instead of just doing them. So, that was my unique experience I had. It was because of that experience I had performed my lot of academic research in a quality manner and solved many problems in a quality manner. Which I had already performance and practiced with during those scenario performances.The knowledge I have gained from my Project Management class has been very beneficial while I have been working at my externship. I was able to learn about project development phases which has made it easier to know what part of the process we are in the project. I also was able to learn about creating an effective timetable and resource management which I use everyday. I have just started working full day Monday and Tuesdays and I have to know exactly how to contribute to the completion of projects to make sure they are completed on time. I have also learned a lot about customizing Quickbooks this term. I have to ‘’ished projects which helps me out in the position that I am in because I constantly have tons of invoices that need to be created. I learned a lot in Business Ethics also. I have used what I learned through business ethics almost every day. Business Ethics has given me a framework for doing ethical analysis of my work, for recognizing some of the moral points in my career and for establishing a moral compass to help me understand what I really need to do. Ethical considerations have been a big part of some of my work and really has made a major difference in my work environment. Ethical considerations have helped create more sound team dynamics. I also think they have added value my work through the lens of the people I work with. I have used what I learned in Business Ethics to a whole to new level at my externship.
"
"Open source software refers to computer programs in which the source code is made available for use or modification by anyone. This model allows individuals and organizations to collaborate on software development, creating a more transparent and flexible approach compared to proprietary software. A key characteristic of open source software is that it is typically distributed under licenses that comply with the Open Source Definition, as defined by the Open Source Initiative. Such licenses grant users various rights, including the freedom to run, study, modify, and distribute the software. Instances of popular open source licenses include the GNU General Public License, Apache License, and MIT License. The concept of open source has gained significant traction in recent years due to its many benefits. 
Open source software and purchased software are two distinct types of software that differ in various aspects such as licensing, accessibility, development process, and cost. Open source software refers to programs whose source code is made available to the public for use and modification under a license approved by the Open Source Initiative. Purchased or proprietary software involves obtaining a license from the developer or vendor in exchange for using and modifying the program within the confines set by the licensing agreement. A key distinction between open source and purchased software is their respective accessibility. Open source software often allows users to freely access, modify, and distribute its underlying code. Purchased software typically comes with restrictions on modification and redistribution due to intellectual property rights held by the developer or vendor.
Pros and Cons of open source software
A prominent advantage of open source software is its cost-effectiveness for individual users. For instance, Apache OpenOffice provides a viable option for individuals who cannot afford expensive office productivity suites such as Microsoft Office. Open source communities encourage transparency and innovation by allowing users to inspect, modify, and enhance the code base according to their needs. This facilitates rapid problem-solving as well as customization opportunities unavailable with closed-source solutions. There are several drawbacks associated with open source software that warrant consideration before adoption. The foremost is the concern about support options compared to commercial products backed by professional customer service teams.  A notable disadvantage pertains to security vulnerabilities potentially overlooked within popular but resource-constrained projects lacking sufficient resources allocated towards robust security assessments compared against market leaders like Windows OS.","Open source software is a type of program whose source code is available to the public, enabling people to use, modify, or share it. Unlike proprietary software, open source software does not keep the code hidden from public viewing. Instead the code is available to everyone all the time. Open source software can benefit businesses by saving them money on development costs. It is easier to tailor an open source program to fit ones needs than it is to custom make proprietary software.

Open source software and purchased software can be different from one another in various ways. From licensing to the development process and also the way to get the software; and of course the cost. Open source software is a computer software program where you can gain access to the source code and if you want you may have the freedom to modify the code. Open source software is a program that meets the following criterion. The software must be freely distributed (Red Hat); the source code is available; you must be able to change or modify the software in some way and there can be no restrictions on how the software is used (Red Hat). Purchased software is the type of software that you would purchase for a computer at a store where you live. A purchased software is one that a user purchases a license to use; the user does not own the software but is using it legally and can use it as long as the user follows the license agreement. Those are just a few of differences between the two. The two are not just close in name but they are also close in being the same.

Another reason would be in an organization OpenOffice would provide an ideal option for an organization looking to minimize operating costs without compromising on the software quality level being adopted. Open source communities facilitate and are advocates of innovation and transparency by allowing their users to view the source code, request them to make modifications if needed and even provide them a chance to make enhancements by incorporating the features to the source code at user’s own side. This factor is providing an continuous edge to the open source softwares over their closed source rivals."
"I have faced the real world obstacles in data analysis. The encountered problems were very much like the problem I had been solving during the course. I had the tools (statistical methods) to use and solve the problem. Since, those were the real world problems I had to find the ways to solve those using the methods I had learnt from the course. While performing those real world scenarios I understood why I was applying the tools to particular problem and what was the advantage of those tools. I knew why I was doing instead of just doing them. So, that was my unique experience I had. It was because of that experience I had performed my lot of academic research in a quality manner and solved many problems in a quality manner. Which I had already performance and practiced with during those scenario performances. 

The knowledge I have gained from my Project Management class has been very beneficial while I have been working at my externship. I was able to learn about project development phases which has made it easier to know what part of the process we are in the project. I also was able to learn about creating an effective timetable and resource management which I use everyday. I have just started working full day Monday and Tuesdays and I have to know exactly how to contribute to the completion of projects to make sure they are completed on time. I have also learned a lot about customizing Quickbooks this term. I have to ‘’ished projects which helps me out in the position that I am in because I constantly have tons of invoices that need to be created. I learned a lot in Business Ethics also. I have used what I learned through business ethics almost every day. Business Ethics has given me a framework for doing ethical analysis of my work, for recognizing some of the moral points in my career and for establishing a moral compass to help me understand what I really need to do. Ethical considerations have been a big part of some of my work and really has made a major difference in my work environment. Ethical considerations have helped create more sound team dynamics. I also think they have added value my work through the lens of the people I work with. I have used what I learned in Business Ethics to a whole to new level at my externship. 

My experience and graduate coursework at the University of North Texas have come together symbiotically to enhance my education. Through taking the knowledge and theories I was learning at school and applied it in the practical world enhanced my understanding of the many topics that make up the umbrella of library sciences I have actively worked through many challenges, gained new knowledge, and honed skills in my graduate coursework as it relates to hands on experiential learning. This included the successful entirety of various theory and methods courses including: Organization of Information, Information in Society, and Information Systems. As well my graduate work has been to have experiential learning associated with it as a Graduate Assistant at Emily H. Fowler Library at UNT where I oversee 50 student workers. My goal of course as it relates to my choice of degree is to work in an academic library as a library director my love for the library is for the access it allows user’s to have, the information library user’s desire in the time frames in which they need it and in the format they desire to use it. ","Real world data analysis have come in my face. Challenges faced in data analysis during that course were just the way how I would be solving it outside my organizational settings. I had the tools (statistical methods) to use and solve the problem. Those problerms were also in my real life problems. Hence, I also had to find any ways to solve my problems in the real life scenarios with those tools. When I was applying those tools in those real life scenarios, I could recognize why I have to apply these tools for this problem. What are these tools advantages? And why am I applying these tools at all. It was not that I was doing those just the line conduct. I was doing recognized why am I doing for a reason. That was my unique experience. Because of that experience. I have done many of the academic research in a quality manner and I have solved many problems in a quality manner. Which I have already performance and practiced with during those scenario performances

I feel the most advantageous to me was my Project Management class. I learned a lot of great, useful information in that class. I think it is most important due to the field I am in. I work in construction with my dad. We have always done one type of building but the potential to start doing different things and expand our projects ion a huge possibility. So, learning such things as Phased Project Development. It is a way to find out where they are in a particular project. It was good for me to know because I had no idea how many different phases there are to building a building. It also helped me to learn all of the different things that are going into the home that we are building. Another thing I learned from that class that was beneficial occurred everyday in my externship was Creating a Effective Timetable. I worked full day Monday and Tuesday and still do. I have two more classes to complete before I am down to just two solely online classes. It is essential for me to know when projects will be completed and how I can add to the completion of projects so that they are completed on time when I leave on Monday and spend some of Tuesday in class. Another thing that I learned that I use in my extern ship everyday is Resourse Management. I have known about it for a little while not but have never really used it to it’s full ability until this term. I have had a lot of people offering to help me and do work for me and I have had to have most of them hold off. I have the knowledge, now, that I didn’t have quite yet to ensure them that when I am complete with my classes at UT, then I will be more than happy to use their services to my satisfaction. I have also learned a lot in Customizing Quickbooks. I had no idea it was so much about Quickbooks. I mean my Quickbooks class in two weeks was cut to one week and was because we all had the problem of either not being into the class for a week or so or just being able to miss for two days if we wanted to. It is ahrd for me to believe, but now people say I have the key to bookkeeping. Because of my knowledge of Quickbooks I will be consideredwhen it is time to advertise for my position while I am WOC. I will do through agencies but I don’t other would have the chance to even put their applications in do to the responses I’ve recieved from people since I’ve let it be know that I know Quickbooks as well as do a lot of work in it. I also learned a lot in Business Ethics. I can say this every term, but really, I know more real more more about Business Ethics than any class I’ve ever taken. I mean I use what I learned through buns already because of Monday’s Ethics and business spot over labor as well as Harlem Children’s Zone due to the fact that, in my case, the both went hand in hand with what I do all day at work. Code of Ethics has really given me kind of a framework for not only doing the kind of ethical elements part the work that I do but it has also given me a better understanding of the moral elements in my career as my career onto my life and it has given me kind of a compass for guiding me through what kind of things I need to do professionally in my career. Ethical considerations have kind of, helped fuel much on my work I finding and maybe building a, sounds crew type environment and really has made a lot different in my ethereal elements different working. Ethical considerations least in my work look a lot different than before view, if he puts it to an album more people level, but also the people in my focus point. And, I use what 25 through sneeze to the skilled on a high more basis at my Exeter.

I tie my experiences and education together in parallel. I take the information and theories I have learned in school and apply it in the practical world which helps to bring to reality the various topics, which come under Library Sciences. On my feet handling many situations that arose in a library have broaden my knowledge and skills beyond what I could have possibly learned from a book; instead I took the initiative to learn and managed hands on the areas.I have been fortunate enough to take some very informative and productive courses as an active assigner which included Completion of class we used many of the theories and methods we learned in class according to what type of library or archives we were doing work for. In high school I did work and got involved not only in school related clubs, but also as a volunteer at many of the local libraries; archive, college and university settings."
